Id;NomeSerie;Url;Genero;Ano;Maturidade;Temporadas
80179394;Dinastia;https://www.netflix.com/br/title/80179394;Séries dramáticas - EUA;2017;16;4 temporadas
80027158;Jane The Virgin;https://www.netflix.com/br/title/80027158;Séries dramáticas - EUA;2014;14;5 temporadas
80024057;Como Defender um Assassino;https://www.netflix.com/br/title/80024057;Séries dramáticas - EUA;2014;16;6 temporadas
80117552;Ozark;https://www.netflix.com/br/title/80117552;Séries dramáticas - EUA;2017;16;4 temporadas
80020542;Gotham;https://www.netflix.com/br/title/80020542;Séries dramáticas - EUA;2014;16;5 temporadas
80107369;A Rainha do Sul;https://www.netflix.com/br/title/80107369;Séries dramáticas - EUA;2016;16;4 temporadas
80211991;Você;https://www.netflix.com/br/title/80211991;Séries dramáticas - EUA;2018;18;3 temporadas
80179190;Eu Nunca...;https://www.netflix.com/br/title/80179190;Séries dramáticas - EUA;2020;14;2 temporadas
81465093;Uncoupled;https://www.netflix.com/br/title/81465093;Séries dramáticas - EUA;2022;16;1 temporada
80104198;Perdidos no Espaço;https://www.netflix.com/br/title/80104198;Séries dramáticas - EUA;2018;12;3 temporadas
80117470;13 Reasons Why;https://www.netflix.com/br/title/80117470;Séries dramáticas - EUA;2017;18;4 temporadas
80025172;Narcos;https://www.netflix.com/br/title/80025172;Séries dramáticas - EUA;2015;16;3 temporadas
81166770;Maid;https://www.netflix.com/br/title/81166770;Séries dramáticas - EUA;2021;16;1 temporada
80109194;O Atirador;https://www.netflix.com/br/title/80109194;Séries dramáticas - EUA;2016;16;3 temporadas
80177342;Good Girls;https://www.netflix.com/br/title/80177342;Séries dramáticas - EUA;2018;14;4 temporadas
80111373;Chesapeake Shores;https://www.netflix.com/br/title/80111373;Séries dramáticas - EUA;2016;10;5 temporadas
81034775;Falsa identidad;https://www.netflix.com/br/title/81034775;Séries dramáticas - EUA;2018;16;2 temporadas
80117809;On My Block;https://www.netflix.com/br/title/80117809;Séries dramáticas - EUA;2018;16;4 temporadas
81037371;Emily em Paris;https://www.netflix.com/br/title/81037371;Séries dramáticas - EUA;2020;14;2 temporadas
80241239;Locke & Key;https://www.netflix.com/br/title/80241239;Séries dramáticas - EUA;2020;16;2 temporadas
80036416;Good Witch;https://www.netflix.com/br/title/80036416;Séries dramáticas - EUA;2015;10;5 temporadas
80133042;El Chapo;https://www.netflix.com/br/title/80133042;Séries dramáticas - EUA;2017;16;3 temporadas
80077977;The Ranch;https://www.netflix.com/br/title/80077977;Séries dramáticas - EUA;2016;14;8 temporadas
81149450;Vikings: Valhalla;https://www.netflix.com/br/title/81149450;Séries dramáticas - EUA;2022;16;1 temporada
81221380;Sweet Tooth;https://www.netflix.com/br/title/81221380;Séries dramáticas - EUA;2021;14;1 temporada
81303831;O Poder e a Lei;https://www.netflix.com/br/title/81303831;Séries dramáticas - EUA;2022;16;1 temporada
80153271;El Chema;https://www.netflix.com/br/title/80153271;Séries dramáticas - EUA;2016;16;1 temporada
80117540;Atypical;https://www.netflix.com/br/title/80117540;Séries dramáticas - EUA;2017;14;4 temporadas
80017537;Grace and Frankie;https://www.netflix.com/br/title/80017537;Séries dramáticas - EUA;2015;16;7 temporadas
