Id;NomeSerie;url;genero
81443315;Canta Comigo Teen;https://www.netflix.com/br/title/81443315;Lançados nos últimos 12 meses
81022683;La Reina del Flow;https://www.netflix.com/br/title/81022683;Lançados nos últimos 12 meses
81354663;Power Rangers: Dino Fúria;https://www.netflix.com/br/title/81354663;Lançados nos últimos 12 meses
81430282;O Rei de Porcelana;https://www.netflix.com/br/title/81430282;Lançados nos últimos 12 meses
81166770;Maid;https://www.netflix.com/br/title/81166770;Lançados nos últimos 12 meses
81422836;Oggy e as Baratas Tontas: E Piya!;https://www.netflix.com/br/title/81422836;Lançados nos últimos 12 meses
80215147;Vidrados;https://www.netflix.com/br/title/80215147;Lançados nos últimos 12 meses
70195800;Suits;https://www.netflix.com/br/title/70195800;TV sobre o local de trabalho
70281562;Brooklyn Nine-Nine;https://www.netflix.com/br/title/70281562;TV sobre o local de trabalho
81509440;Pretendente Surpresa;https://www.netflix.com/br/title/81509440;TV sobre o local de trabalho
80061132;Superstore: Uma Loja de Inconveniências;https://www.netflix.com/br/title/80061132;TV sobre o local de trabalho
80100929;As Telefonistas;https://www.netflix.com/br/title/80100929;TV sobre o local de trabalho
81303831;O Poder e a Lei;https://www.netflix.com/br/title/81303831;TV sobre o local de trabalho
81349493;Vida de Madeireiro;https://www.netflix.com/br/title/81349493;TV sobre o local de trabalho
81572781;Clima do Amor;https://www.netflix.com/br/title/81572781;TV sobre o local de trabalho
80198991;Supermães;https://www.netflix.com/br/title/80198991;TV sobre o local de trabalho
80203254;Restauradores de Rust Valley;https://www.netflix.com/br/title/80203254;TV sobre o local de trabalho
81465196;Backstreet Rookie;https://www.netflix.com/br/title/81465196;TV sobre o local de trabalho
81394495;She Would Never Know;https://www.netflix.com/br/title/81394495;TV sobre o local de trabalho
80198505;Aggretsuko;https://www.netflix.com/br/title/80198505;TV sobre o local de trabalho
80223108;Sunset - Milha de Ouro;https://www.netflix.com/br/title/80223108;TV sobre o local de trabalho
80191522;Paradise Police;https://www.netflix.com/br/title/80191522;TV sobre o local de trabalho
80995819;Departamento de Conspirações;https://www.netflix.com/br/title/80995819;TV sobre o local de trabalho
81279310;Guia Astrológico para Corações Partidos;https://www.netflix.com/br/title/81279310;TV sobre o local de trabalho
81045349;Romance Is a Bonus Book;https://www.netflix.com/br/title/81045349;TV sobre o local de trabalho
81054857;Temporada de Verão;https://www.netflix.com/br/title/81054857;TV sobre o local de trabalho
80117694;Disjointed;https://www.netflix.com/br/title/80117694;TV sobre o local de trabalho
81170092;My Secret Romance;https://www.netflix.com/br/title/81170092;TV sobre o local de trabalho
81303889;Asas da Ambição;https://www.netflix.com/br/title/81303889;TV sobre o local de trabalho
81267200;Criadores de Diversão;https://www.netflix.com/br/title/81267200;TV sobre o local de trabalho
81092963;Recursos Humanos;https://www.netflix.com/br/title/81092963;TV sobre o local de trabalho
80990935;Something in the Rain;https://www.netflix.com/br/title/80990935;TV sobre o local de trabalho
81470227;Vida a Bordo - Mediterrâneo;https://www.netflix.com/br/title/81470227;TV sobre o local de trabalho
81017316;Grite, você está sendo filmado;https://www.netflix.com/br/title/81017316;TV sobre o local de trabalho
81297404;Exorcista de Aluguel;https://www.netflix.com/br/title/81297404;TV sobre o local de trabalho
80216172;Criminal - Reino Unido;https://www.netflix.com/br/title/80216172;TV sobre o local de trabalho
80133335;Dix pour cent;https://www.netflix.com/br/title/80133335;TV sobre o local de trabalho
80135640;West Coast Customs;https://www.netflix.com/br/title/80135640;TV sobre o local de trabalho
81389612;Rei dos Stonks;https://www.netflix.com/br/title/81389612;TV sobre o local de trabalho
81281864;O Idiota Favorito de Deus;https://www.netflix.com/br/title/81281864;TV sobre o local de trabalho
81196469;Tattoo Fail;https://www.netflix.com/br/title/81196469;TV sobre o local de trabalho
81416676;Do Nada, Grávida;https://www.netflix.com/br/title/81416676;TV sobre o local de trabalho
81039557;Força-Queer;https://www.netflix.com/br/title/81039557;TV sobre o local de trabalho
81205830;Search WWW;https://www.netflix.com/br/title/81205830;TV sobre o local de trabalho
80119382;Servo do Povo;https://www.netflix.com/br/title/80119382;TV sobre o local de trabalho
81452916;Entre a Razão e a Emoção;https://www.netflix.com/br/title/81452916;TV sobre o local de trabalho
70171942;Archer;https://www.netflix.com/br/title/70171942;TV sobre o local de trabalho
80201728;Lenox Hill;https://www.netflix.com/br/title/80201728;TV sobre o local de trabalho
80157073;Caso de Polícia;https://www.netflix.com/br/title/80157073;TV sobre o local de trabalho
81149112;Disque Prazer;https://www.netflix.com/br/title/81149112;TV sobre o local de trabalho
81417684;Imóveis de Luxo em Família;https://www.netflix.com/br/title/81417684;TV sobre o local de trabalho
81097871;Como Virar um Cowboy;https://www.netflix.com/br/title/81097871;TV sobre o local de trabalho
81477952;Light the Night;https://www.netflix.com/br/title/81477952;TV sobre o local de trabalho
80996455;Borges;https://www.netflix.com/br/title/80996455;TV sobre o local de trabalho
